id,promise_id,update_date,details,new_status
1,4,2023-08-15T00:00:00.000Z,เริ่มลงทะเบียนโครงการกระเป๋าดิจิทัล ผ่านแอปพลิเคชัน เป๋าตัง มีผู้ลงทะเบียนแล้วกว่า 30 ล้านคน คาดว่าจะเริ่มจ่ายเงินในไตรมาส 4,กำลังดำเนินการ
2,4,2024-01-10T00:00:00.000Z,อยู่ระหว่างการพิจารณางบประมาณและกรอบกฎหมาย คาดว่าจะเริ่มจ่ายเงินดิจิทัล 10000 บาทได้ในเดือนกุมภาพันธ์ 2024,กำลังดำเนินการ
3,4,2024-02-25T00:00:00.000Z,เริ่มจ่ายเงินดิจิทัลให้กับกลุ่มแรก 14 ล้านราย ผู้มีรายได้ต่ำกว่า 70000 บาทต่อปี สามารถใช้จ่ายในร้านค้าชุมชนได้,กำลังดำเนินการ
4,5,2023-07-20T00:00:00.000Z,ลดค่าไฟฟ้าครัวเรือนละ 92.04 บาทต่อเดือน เป็นเวลา 4 เดือน (กันยายน-ธันวาคม 2023) เพื่อบรรเทาภาระประชาชน,กำลังดำเนินการ
5,5,2023-10-15T00:00:00.000Z,ขยายมาตรการลดค่าไฟฟ้าถึง 31 มกราคม 2024 และกำลังหามาตรการลดราคาน้ำมันและก๊าซหุงต้มเพิ่มเติม,กำลังดำเนินการ
6,5,2024-01-30T00:00:00.000Z,ดีเซลราคาลดลงเหลือ 30 บาทต่อลิตร ก๊าซหุงต้มคงที่ 333 บาทถังละ 15 กก. และขยายช่วยค่าไฟฟ้าถึงเมษายน 2024,กำลังดำเนินการ
7,7,2023-06-09T00:00:00.000Z,ออกกฎกระทรวงการปลูกกัญชาในเชิงพาณิชย์ กำหนดให้ต้องขอใบอนุญาตและมีมาตรฐาน THC ไม่เกิน 0.2%,กำลังดำเนินการ
8,7,2023-09-15T00:00:00.000Z,จัดตั้งคณะกรรมการกำกับดูแลกัญชา มีการตรวจสอบร้านค้าและผู้ประกอบการกว่า 5000 ราย เพื่อให้เป็นไปตามกฎหมาย,กำลังดำเนินการ
9,7,2024-01-20T00:00:00.000Z,กระทรวงสาธารณสุขเปิดตัวแอปพลิเคชันตรวจสอบผลิตภัณฑ์กัญชาที่ถูกกฎหมาย เพื่อคุ้มครองผู้บริโภค,กำลังดำเนินการ
10,8,2023-06-25T00:00:00.000Z,อนุมัติงบประมาณ 500 ล้านบาท สำหรับโครงการอุดหนุนรายได้เกษตรกรปลูกข้าว มันสำปะหลัง และข้าวโพด,กำลังดำเนินการ
11,8,2023-11-10T00:00:00.000Z,จ่ายเงินอุดหนุนให้เกษตรกรผู้ปลูกข้าวไปแล้ว 2.8 ล้านราย เฉลี่ยไร่ละ 500 บาท รวมเงินกว่า 15000 ล้านบาท,กำลังดำเนินการ
12,9,2023-07-15T00:00:00.000Z,เปิดศูนย์ดูแลเด็กนำร่อง 20 แห่งในกรุงเทพฯและปริมณฑล ให้บริการฟรีสำหรับผู้ปกครองที่มีรายได้น้อย,กำลังดำเนินการ
13,9,2023-12-01T00:00:00.000Z,เพิ่มเงินเบี้ยผู้สูงอายุจาก 600-1000 บาท เป็น 700-1100 บาท และขยายศูนย์ดูแลเด็กอีก 50 แห่งทั่วประเทศ,กำลังดำเนินการ
14,11,2023-05-20T00:00:00.000Z,ลงนามบันทึกความเข้าใจกับสมาคมโรงแรมไทย เพื่อยกระดับมาตรฐานการให้บริการและส่งเสริมการท่องเที่ยวยั่งยืน,กำลังดำเนินการ
15,11,2023-10-30T00:00:00.000Z,จำนวนนักท่องเที่ยวต่างชาติเพิ่มขึ้น 45% เมื่อเทียบกับปีก่อน คาดว่าจะทะลุ 30 ล้านคนภายในสิ้นปี 2023,กำลังดำเนินการ
16,12,2023-08-05T00:00:00.000Z,จัดสรรงบประมาณ 12000 ล้านบาท สำหรับจัดซื้ออุปกรณ์การแพทย์และเพิ่มพยาบาลในโรงพยาบาลชุมชน 500 แห่ง,กำลังดำเนินการ
17,12,2024-01-15T00:00:00.000Z,เพิ่มเตียงผู้ป่วยและอุปกรณ์ ICU ในโรงพยาบาลชุมชนกว่า 200 แห่ง เพื่อรองรับการให้บริการที่เพิ่มขึ้น,กำลังดำเนินการ
18,13,2023-06-10T00:00:00.000Z,จัดตั้งศูนย์อำนวยการความมั่นคง ประสานงานหน่วยงานรักษาความสงบเรียบร้อยทั่วประเทศ,กำลังดำเนินการ
19,13,2023-11-25T00:00:00.000Z,จัดการประชุมสัญจรในพื้นที่ชายแดนใต้ เพื่อสร้างความเข้าใจและความสามัคคีระหว่างประชาชน,กำลังดำเนินการ
20,4,2026-02-07T08:38:13.201Z,เบื่อแล้วไม่ทำแล้ว,เงียบหาย
21,6,2026-02-07T09:08:29.965Z,เริ่มทำสักที,กำลังดำเนินการ
22,6,2026-02-07T09:10:46.228Z,หาเงินแปป,กำลังดำเนินการ
23,6,2026-02-07T09:17:06.879Z,หาเงินได้ล่ะ,กำลังดำเนินการ
